Problem_Number,Minimum_Time_ns,Maximum_Time_ns,Mean_Time_ns,Stddev_Time_ns,Sigma_Low_ns,Sigma_High_ns
1,0.791,28.375,0.8702777999999999,0.2827966584352836,0.5874811415647163,1.1530744584352834
2,5.042,32.0,5.425515900000003,1.1406199456143242,4.284895954385679,6.566135845614328
3,558.6881720430108,1090.279569892473,577.1099139784949,30.999668720703205,546.1102452577917,608.1095826991981
4,14667.0,5.3134916e7,22092.5797,531191.3637238754,-509098.78402387537,553283.9434238754
5,290.9007352941176,652.5735294117648,293.28142022058785,8.411437261036152,284.8699829595517,301.692857481624
6,0.791,7.375,0.8715446,0.13688970775792111,0.7346548922420789,1.0084343077579212
7,1.000667e6,4.513625e6,1.0377713217030114e6,97918.20146582008,939853.1202371913,1.1356895231688316e6
8,41833.0,148333.0,42409.6235,2033.2665414624348,40376.356958537566,44442.89004146244
9,106.72358591248666,145.8110992529349,107.61006510138735,2.2999245277796763,105.31014057360767,109.90998962916703
10,9.401e6,1.121225e7,9.50037367552182e6,113885.52229206623,9.386488153229754e6,9.614259197813887e6
11,39167.0,249625.0,40495.3584,6988.609139071902,33506.749260928096,47483.9675390719
12,3.3031583e7,3.3523833e7,3.3140647072847683e7,78948.7346183669,3.3061698338229317e7,3.321959580746605e7
